% Module: Sweep, ID: c1p10t17p1cfm0
% Device: dev1389
% Time: 2020/02/17 16:05:55
% Demod 3 Sample R,  /module/c1p10t17p1cf/sweep/dev1389/demods/2/sample.R
% Phase (deg); Demod 3 Sample R Amplitude (V)
-1080; 2.15215957303
-1069.145728643216; 2.1529968357
-1058.291457286432; 2.15374356041
-1047.437185929648; 2.1545228718
-1036.582914572864; 2.15527949392
-1025.72864321608; 2.15592820491
-1014.874371859297; 2.15593025557
-1004.020100502513; 2.15239858308
-993.1658291457286; 2.14187520827
-982.3115577889447; 2.12065982587
-971.4572864321608; 2.06995288963
-960.6030150753769; 1.97648352089
-949.748743718593; 1.86532537114
-938.894472361809; 1.75120342667
-928.0402010050251; 1.64272098595
-917.1859296482412; 1.52510886206
-906.3316582914573; 1.41153310775
-895.4773869346734; 1.3021562313
-884.6231155778894; 1.18781384191
-873.7688442211055; 1.07522873543
-862.9145728643216; 0.959909418909
-852.0603015075377; 0.846265855129
-841.2060301507538; 0.735301046816
-830.3517587939698; 0.621239030443
-819.4974874371859; 0.505241997649
-808.643216080402; 0.398085751675
-797.788944723618; 0.280816055344
-786.9346733668342; 0.165689607153
-776.0804020100502; 0.0548096290785
-765.2261306532663; 0.017536906586
-754.3718592964824; 0.0165406860917
-743.5175879396984; 0.0160248221324
-732.6633165829146; 0.0160219923897
-721.8090452261306; 0.0157286872582
-710.9547738693467; 0.0159169370054
-700.1005025125628; 0.0158686330934
-689.2462311557788; 0.0157588147006
-678.391959798995; 0.015850196598
-667.537688442211; 0.0159052469344
-656.6834170854271; 0.0158210317992
-645.8291457286432; 0.015452433212
-634.9748743718592; 0.0153675144765
-624.1206030150754; 0.0156511015828
-613.2663316582914; 0.0149704849513
-602.4120603015075; 0.0153628270261
-591.5577889447236; 0.015306796168
-580.7035175879396; 0.0154974796892
-569.8492462311558; 0.0154717554351
-558.9949748743718; 0.0152060037927
-548.1407035175879; 0.0156698192392
-537.286432160804; 0.0154845819934
