% Module: Sweep, ID: c1p10t17p1cfm0
% Device: dev1389
% Time: 2020/02/17 16:05:55
% Demod 3 Sample R,  /module/c1p10t17p1cf/sweep/dev1389/demods/2/sample.R
% Phase (deg); Demod 3 Sample R Amplitude (V)
1047.437185929648; 2.16783987656
1036.582914572864; 2.1661836639
1025.72864321608; 2.16470221201
1014.874371859297; 2.16393582198
1004.020100502513; 2.16312935402
993.1658291457288; 2.16242076557
982.3115577889448; 2.1617088749
971.4572864321608; 2.16113724317
960.603015075377; 2.16053885184
949.748743718593; 2.15996878861
938.8944723618092; 2.15945079341
928.0402010050252; 2.1589630021
917.1859296482414; 2.15843228118
906.3316582914574; 2.1581270693
895.4773869346734; 2.15774056088
884.6231155778896; 2.15736020089
873.7688442211056; 2.15715116506
862.9145728643218; 2.15691553799
852.0603015075378; 2.15659491372
841.2060301507538; 2.156350627
830.35175879397; 2.156127578
819.497487437186; 2.15587802444
808.6432160804022; 2.15566784245
797.7889447236182; 2.1554756843
786.9346733668342; 2.15515613115
776.0804020100504; 2.15493523257
765.2261306532664; 2.15465190255
754.3718592964826; 2.15455237805
743.5175879396986; 2.15428340891
732.6633165829146; 2.15402581093
721.8090452261308; 2.15376808751
710.9547738693468; 2.15353475796
700.100502512563; 2.15328290651
689.246231155779; 2.15302915169
678.391959798995; 2.15288580347
667.5376884422112; 0.219343596647
656.6834170854272; 0.125493210521
645.8291457286434; 0.238387783273
634.9748743718594; 0.348726696553
624.1206030150754; 0.458876547122
613.2663316582916; 0.573229457614
602.4120603015076; 0.687668162341
591.5577889447238; 0.800576820378
580.7035175879398; 0.915978821309
569.8492462311558; 1.02505671798
558.994974874372; 1.1388437194
548.140703517588; 1.25042776632
537.2864321608042; 1.36480231351
526.4321608040202; 1.47850628265
515.5778894472362; 1.59083314432
504.7236180904524; 1.70463392919
493.8693467336684; 1.82038222758
483.0150753768846; 1.93259231874
472.1608040201006; 2.03987658425
461.3065326633166; 2.11390551508
450.4522613065328; 2.14552028137
439.5979899497488; 2.16036748452
428.743718592965; 2.16599503914
417.889447236181; 2.16663513436
407.035175879397; 2.16560304076
396.1809045226132; 2.16437232182
385.3266331658292; 2.16333573154
374.4723618090454; 2.16213039399
363.6180904522614; 2.16109391396
352.7638190954774; 2.16007838214
341.9095477386936; 2.15906907033
331.0552763819096; 2.1580358283
320.2010050251258; 2.15703206163
309.3467336683418; 2.1559911743
298.4924623115578; 2.1556902758
287.638190954774; 2.15544185071
276.78391959799; 2.15532700123
265.9296482412062; 2.15513528363
255.0753768844222; 2.15492253335
244.2211055276382; 2.15478296714
233.3668341708544; 2.15464102583
222.5125628140704; 2.15447885702
211.6582914572866; 2.15429516008
200.8040201005026; 2.15420794081
189.9497487437186; 2.15407141691
179.0954773869348; 2.15390603434
168.2412060301508; 2.15376583886
157.386934673367; 2.1535958719
146.532663316583; 2.15341757318
135.678391959799; 2.15328934707
124.8241206030152; 2.15316093879
113.9698492462312; 2.15299767133
103.1155778894474; 2.15287240279
92.26130653266341; 2.15269465002
81.4070351758794; 2.15264650587
70.55276381909562; 2.15247359602
59.69849246231161; 2.1523966886
48.84422110552782; 2.15224921248
37.98994974874381; 2.15214516414
27.1356783919598; 2.15200475827
16.28140703517602; 2.15187287903
5.427135678392006; 2.15174737412
-5.427135678391778; 2.15155860338
-16.28140703517579; 2.15145326577
-27.1356783919598; 2.15134651301
-37.98994974874358; 2.15130475042
-48.84422110552759; 2.15125491367
-59.69849246231149; 0.171761449143
-70.55276381909539; 0.202934152005
-81.40703517587929; 0.311178325519
-92.2613065326633; 0.425217698648
-103.1155778894472; 0.534622204199
-113.9698492462311; 0.649245061823
-124.824120603015; 0.764260460685
-135.6783919597989; 0.876664492304
-146.5326633165829; 0.989647767463
-157.3869346733668; 1.10112448637
-168.2412060301507; 1.21532897512
-179.0954773869346; 1.33077356729
-189.9497487437185; 1.44258761346
-200.8040201005025; 1.55403972107
-211.6582914572864; 1.66940194979
-222.5125628140703; 1.78168637683
-233.3668341708542; 1.89390279871
-244.2211055276381; 2.00798848285
-255.0753768844221; 2.09461411685
-265.929648241206; 2.13673374372
-276.7839195979899; 2.15559950773
-287.6381909547738; 2.16353416223
-298.4924623115577; 2.1655784553
-309.3467336683417; 2.16489436931
-320.2010050251256; 2.16387674885
-331.0552763819095; 2.16266452109
-341.9095477386934; 2.16162331203
-352.7638190954773; 2.16057489628
-363.6180904522613; 2.15951694092
-374.4723618090452; 2.15847346432
-385.3266331658291; 2.15750366222
-396.180904522613; 2.15644453458
-407.0351758793969; 2.15551055961
-417.8894472361809; 2.15484659554
-428.7437185929648; 2.15470808334
-439.5979899497487; 2.15448471841
-450.4522613065326; 2.15434901674
-461.3065326633165; 2.1542722702
-472.1608040201005; 2.15410376473
-483.0150753768844; 2.15396911633
-493.8693467336683; 2.15385418103
-504.7236180904522; 2.15381010827
-515.5778894472361; 2.15368083096
-526.4321608040201; 2.15365976739
-537.286432160804; 2.15364948377
-548.1407035175879; 2.15356794211
-558.9949748743718; 2.15354321985
-569.8492462311558; 2.15340697796
-580.7035175879396; 2.15339431731
-591.5577889447236; 2.15330125557
-602.4120603015075; 2.15326698416
-613.2663316582914; 2.15315684383
-624.1206030150754; 2.15312769986
-634.9748743718592; 2.1530725427
-645.8291457286432; 2.15304813831
-656.6834170854271; 2.15299428558
-667.537688442211; 2.15289999953
-678.391959798995; 2.15280299749
-689.2462311557788; 2.15268688985
-700.1005025125628; 2.15265636572
-710.9547738693467; 2.15266296921
-721.8090452261306; 2.15270186999
-732.6633165829146; 2.15275122779
-743.5175879396984; 2.15268363847
-754.3718592964824; 2.15270006117
-765.2261306532663; 2.1527582382
-776.0804020100502; 0.15887408105
-786.9346733668342; 0.162167144139
-797.788944723618; 0.275141654191
-808.643216080402; 0.387792813525
-819.4974874371859; 0.500020304356
-830.3517587939698; 0.611139626845
-841.2060301507538; 0.723948862555
-852.0603015075377; 0.835112581536
-862.9145728643216; 0.951621745738
-873.7688442211055; 1.06460743672
-884.6231155778894; 1.17765589717
-895.4773869346734; 1.2917697535
-906.3316582914573; 1.40381475478
-917.1859296482412; 1.51726144573
-928.0402010050251; 1.63109160388
-938.894472361809; 1.74451408081
-949.748743718593; 1.85933468123
-960.6030150753769; 1.96842774641
-971.4572864321608; 2.07081053644
-982.3115577889447; 2.12709789379
-993.1658291457286; 2.1522645062
-1004.020100502513; 2.16330484125
-1014.874371859297; 2.16702585948
-1025.72864321608; 2.16686406399
-1036.582914572864; 2.16575236994
-1047.437185929648; 2.16470906094
-1058.291457286432; 2.16350717703
-1069.145728643216; 2.16241282972
-1080; 2.16130187221
